Title,URL,Address,Compensation,Employment Type,Description
Project Manager for Busy Design-to-Build Reno Co.,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-manager-for-busy/6964940143.html,Midtown West,75k-125k DOE,full-time,"
        
Busy Design-to Build renovation company looking for mid to upper level project manager.
MUST be able to oversee jobs throughout NYC, supervise, and report to CEO.
MUST have experience performing alterations in Co-ops, Condos, and houses.
MUST be college grad.
Able to start immediately.    "
Architectural Intern / Administrative assistant,https://newyork.craigslist.org/brk/egr/d/architectural-intern-administrative/6965140411.html,Brooklyn,Competitive compensation based on skills/experience,full-time,"
        
Brooklyn Architectural firm seeks:
full-time position for Architectural Intern / Administrative assistant


Skills: 
Professional & motivated attitude
Written and communication skills 
Standard Microsoft office suite familiarity
Architectural background
Familiarity with NYC Department of Buildings

Responsibilities include:
Written reports / Paperwork 
Client correspondence, etc.

Competitive compensation based on skills/experience

Job seeker to live within 20 miles of 11219 Zip code.    "
Mid-Level Architect: 8 to 10 Years of Experience,https://newyork.craigslist.org/que/egr/d/astoria-mid-level-architect-8-to-10/6965250255.html,Long Island City,Competitive,full-time,"
        
Seeking Mid-Level Architect with 8+ years of experience in all phases of design including Schematic Design, Design Development, Construction Documents and a strong background in Construction Administration. The candidate should have the following:

•	Must have strong background in Construction Administration
•	Ability to independently review submittals, respond to RFIs, and issue bulletins
•	Licensure in New York State is preferred
•	Bachelor’s or Master’s degree in Architecture
•	Proficiency in AutoCAD 2014 or later with BIM experience a plus
•	Ability to coordinate the work of a multi-disciplinary team
•	Self-motivation and the ability to work independently
•	Experience with Microsoft Office (Word, Excel, PowerPoint) and other graphic / design software including the Adobe Design Suite

Preferred project experience includes K-12 schools, higher-education projects, and design of large-scale public projects (transit stations, convention centers, and similar).

Experience and interest in sustainable design/documentation and LEED is strongly encouraged, with applicable accreditations preferred.

For application requirements and submission instructions, see the link below:



di Domenico + Partners, LLP is an equal opportunity employer. The firm offers a full benefits package including health insurance, dental and vision insurance, and 401(k) retirement plan.
    "
DOB Filing Representative- Freelance,https://newyork.craigslist.org/mnh/egr/d/new-york-city-dob-filing-representative/6965492876.html,Midtown,TBD,contract,"
        
Job Description
Filing Representative needed to file DOB Architectural filing set and certificate of correction in Manhattan NY.

Must have Class 1 or 2 Filing Representative License.

RESPONSIBILITIES:

DOB (Department of Buildings)

1. Pre-filing and E-filing for job filings (ALT 1, 2, 3, Demo, PA)
2. DOB Now Build
3. DOB Now Safety
4. DOB Now Inspections:
Schedule Construction, Plumbing, Electrical inspections
Delegate pertinent parties
Download Pass - Final Reports and submit for sign-off
Upload corrections for certifiable objections
5. DOB Permits PW 1, PW 2, PW 3, PW4, After hour variances
6. Site Safety Plans
7. Records Room research: microfilm, block and lot, folder
8. Post Approval Amendments
9. Violations (AEU2, AEU20, Dismissals, Waivers)
10. Stop Work Orders, Partial Stop Work Orders
11. Obtain New DOB Tracking Number for Contractors and insurance updates
12. Required Items submission
13. Letter of Completions
14. Temporary and Final Certificates of Occupancy
15. Schedule and attend Plan Examiner appointments to obtain approvals
16. Attend Chief Plan's examiners meetings with Architects, Engineers, Developers, Property Managers
17. Attend meetings with Deputy Borough Commissioners
DOT (Department of Transportation)

1. DOT Permits: Sidewalk, Fire Hydrant, Curb Cut
ECB (Environmental Control Board)
1. Attend ECB hearings
2. Process penalty payments

TOPO (Topographical Bureau)

1. Street Address Verification
DOF (Department of Finance)

1. Tax Maps

FDNY (Fire Department of the city of New York)

1. Submit applications
2. Obtain Building Profiles, Notices of Violation and Violation Orders
3. Attend appointments



    "
NYC DOB_ Architect _ Architectural Services- filing set_ Freelancer,https://newyork.craigslist.org/mnh/egr/d/new-york-city-nyc-dob-architect/6965495303.html,Midtown,TBD,full-time,"
        
Architectural Services- filing set_ Architect_ Freelancer\Independent Contractor

We are seeking an Architectural Associate/CAD drafter to create NYC DOB filing sets for commercial renovations, specifically Restaurant projects primarily in Manhattan.

RESPONSIBILITIES:
• Survey existing and as-built conditions on sites located throughout the NYC area
• Create Architectural Drawings and Construction Documents (Alteration Type 1 and Type 2)
• Zoning Analysis and Diagrams
• Drawing existing and proposed sections and elevations
• Update drawing sets based on NYC Plan Examiner Objections
• Prepare DOB filing set packages and coordinate with Expediter to file with Department of Buildings.

Position is an independent contractor/ freelancer    "
ARCHITECT Senior/ Intermediate/ Junior,https://newyork.craigslist.org/que/egr/d/bayside-architect-senior-intermediate/6963626629.html,QUEENS,$20-$30 based on experience/knowledge,full-time,"
        
Min. proven 3 year architectural drawing experience 
Drawings using autocad,
Understanding NYC zoning regulation/ bldg code, 
Permit applications and other required forms.

Legal documents for employment in US.
BA/BS in Architecture required.

English Communication skill req'd.
Full time, Cover letter with Expected Salary.    "
Junior / Intermediate Architect / Expediter,https://newyork.craigslist.org/brk/egr/d/junior-intermediate-architect-expediter/6965717468.html,midwood,.,full-time,"
        
Architectural/design firm is looking for a Junior / Intermediate Architect for full time position.  The firm specializes in Commercial, Mid sized residential buildings and in high-end residential single family homes. We are very detail oriented and work with a select few clientele base.
Candidate should possess the following qualifications:
Must be proficient in AutoCad, have good verbal skills, be a team player and be willing to work on projects from inception to completion.  

Position:
Applicant will be working on all phases of a project from the design phase through the production of a complete set of construction documents/construction administration under the direct supervision of the Architect. Our belief is to expose individuals to all aspects of architecture as to increase their worth and knowledge within the firm.    "
Interior/architect  designer,https://newyork.craigslist.org/lgi/egr/d/great-neck-interior-architect-designer/6959790489.html,Great Neck,Hourly rate,part-time,"
        
Pinner Architecture  is currently seeking a talented, responsible, ambitious FREELANCE Senior Interior Designer for immediate part-time employment to work  on commercial Interiors designs. We are looking for a sharp individual who is detail-oriented, and who likes to experiment with new ideas and materials. The candidate must be equally able to take direction and work independently as needed while being fully accountable for all project assignments. They will also need to be team-spirited, willing not only to listen but also contribute to a creative design dialogue. Curiosity, discernment, resourcefulness, and drive are important.  Could lead to full time employment.    "
Intermediate Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect/6959812116.html,Midtown,Commensurate with experience,full-time,"
        
New York based architectural firm is seeking a Intermediate Architect for current large-scale projects. Applicant must be available to begin work immediately. We are seeking a Project Architect with a minimum of 8 to 10 years of experience in the delivery of detailed construction documents. Proficiency in Autodesk Revit, AutoCad and associated software.. 

Applicant must possess excellent technical skills. Applicant will be required to perform program analysis, zoning analysis, building planning standards and code compliance issues for large scale facilities is desirable. Experience with current New York City Building Code is a plus.

We offer a competitive salary and benefits package commensurate with experience, health insurance, vacation/sick time, disability and paid family leave coverages. 

Interested candidates please forward a cover letter and resume.    "
Survey Crew Chief,https://newyork.craigslist.org/wch/egr/d/white-plains-survey-crew-chief/6959842486.html,White Plains,Negotiable,full-time,"
        
This is an excellent opportunity with a highly-respected engineering firm as a crew chief in the survey department. This is a great role for an individual with 2-5 years of experience as a Crew Chief who might be looking to work for a more reputable firm, or someone with experience as a Land Surveyor looking for their first Crew Chief role. 

Candidates will be responsible for operating survey equipment, reporting data to office personnel, and leading a small team. Outstanding candidates will also have experience using Robotic Total Station Equipment. 

Requirements:
At least 2-5 years of experience in land surveying
OSHA 10 Certification (we can help obtain)
References from past employers

If you are interested in the opportunity, please attach an updated resume.    "
Drafter Position - Bilingual Russian,https://newyork.craigslist.org/brk/egr/d/drafter-position-bilingual-russian/6959982012.html,,Pay based on experience.,full-time,"
        
Position available now. Architectural Consulting Company is looking for an experienced drafter/ junior architect to work full-time in the office located in Brooklyn, preferably bilingual in Russian, literacy is not required.
Our drafters work directly with the clients from the design phase to sign-off. Strong understanding of the NYC Building Codes is crucial, however, we provide training. It is a fast-paced office, and we expect the employees to have knowledge and understanding of the processes involved in getting a project approved. Able to work efficiently in tight deadlines, ever-changing team-oriented environment. Must be able to communicate effectively both orally and in writing with team members and outside professionals while proactively communicating with the Project Manager to obtain needed information to continue progress on plans.
Experience with renderings (particularly 3D Max) is a plus. However training will be provided. Salary based on skill and experience. 

Please include resume and portfolio/samples that reflect your creativity.    "
Civil Field Engineer,https://newyork.craigslist.org/que/egr/d/forest-hills-civil-field-engineer/6959915282.html,Queens,Dependent on skills & experience,full-time,"
        
Tectonic is currently seeking full-time Civil Field Engineers to work on various building and infrastructure projects throughout the NYC area. 

This position will provide Civil Field Engineers with the chance to work on high profile, challenging projects that offer the opportunity for professional growth and advancement within the A/E/C industry working for a Top ENR 500 Firm. 

ESSENTIAL FUNCTIONS

The essential functions of this position include traveling to various project sites on a daily basis, monitoring construction operations, and using applicable field testing procedures and testing equipment to perform required field and building inspections and testing, as well as all related testing as required by the project and client to determine compliance with project plans and specifications. Essential functions also include the preparation of Daily Field Reports, communication of deficiencies observed in the field to project managers, contractors, and/or client representatives, and the interpretation of project-related drawings and documents, as well as all other duties as assigned.

QUALIFICATIONS

•	BS Degree in Civil Engineering;
•	Registered EIT in New York State;
•	Related certifications are a plus;
•	Ability to complete OSHA 10-Hour Construction Safety and Health Training within a reasonable time period;
•	Effective oral and written communication skills; 
•	Ability to learn and understand the fundamentals of building inspection codes and requirements in order to carry out testing, including, but not limited to, International Building Codes, ASTM Standards, and TMS standards; 
•	Must be detail oriented;
•	May also require valid, clean driver’s license and personal vehicle to travel to and transport testing equipment to various project sites primarily throughout the New York City metro area, as regular daily travel is required.

TO VIIEW AND APPLY, PLEASE VISIT: 

In addition to providing competitive salaries, Tectonic offers a wide range of benefit options, including:

•	Comprehensive group medical insurance, including health, dental, vision and life
•	Opportunities for professional growth and advancement
•	Tuition reimbursement
•	Paid time off, including vacation, sick and personal
•	Company–observed paid holidays
•	Short and long-term disability coverage
•	Flexible spending accounts for medical expenses and dependent care
•	Commuter benefit plan for public transportation costs
•	401K retirement and profit sharing plan.

We are an equal opportunity/affirmative action employer, and highly encourage resumes from all interested parties including women, minorities, veterans and persons with disabilities. All qualified applicants will be afforded equal employment opportunities without discrimination on the basis of race, creed, color, national origin, sex, age, disability, marital status, or any other protected class.
Tectonic participates in the USCIS E-Verify Program to verify that all new hires are authorized to work in the United States.

    "
Pro Aire Design seeks Full Time HVAC Estimator / Estimating Assistant,https://newyork.craigslist.org/brk/egr/d/brooklyn-pro-aire-design-seeks-full/6959881035.html,East Flatbush,Negotiable,full-time,"
        
Pro Aire Design is seeking a full-time HVAC Estimating Assistant ($15-22 an hour)

*Please reference job title on subject, send resume in PDF, and text format on the body of email*

We are a company based in Brooklyn is looking for a HVAC Estimating Assistant with a 1-3 years' of experience in taking off a plans. Knowledge of drafting for HVAC metal shop, and coordination drawings in 2D/3D is a plus. The candidate should have knowledge of plumbing. The candidate will work in engineering department with professional. Compensation and benefits based on experience. 

MAJOR FUNCTION/ROLE
Will work with project managers, and mechanical engineers to take off plans, create CAD files, and construction documents for HVAC projects. Additionally, keep track of incoming/outgoing products, purchase forecast,  and return. 

JOB DUTIES 
• Take off plans + Performs computer-aided drafting and design work of considerable complexity. Incumbents at this level can work from verbal or written specifications. 
• Create 2D and 3D models using AutoCAD MEP
• Prepare HVAC Shops, As-Builts and Coordination drawings 

EDUCATION AND EXPERIENCE 
• High school diploma (or equivalent) plus two years related experience; OR 
• An Associate Degree in a related technical field plus one years related experience;
• Must have at least 1-3 years of experience in taking off plans and HVAC CAD preparation of Construction Documents, with additional experience preferred. 

Pro Aire Design Offers: 
• Competitive wages
• Medical benefits
• Paid vacation
• Paid holidays
• Employee product discounts

We are an Equal Opportunity Employer; all qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status as a protected veteran, among other things, or status as a qualified individual with a disability. If our company sounds like a place you want to be a part of please feel free to send your resume along with any inquiries. We look forward to hearing from you!    "
Ground Up Construction Supervisor,https://newyork.craigslist.org/brk/egr/d/brooklyn-ground-up-construction/6960129731.html,Brooklyn,1,full-time,"
        
Sahara Contracting in Brooklyn seeks qualified Construction Supervisor.  

Key Requirements:

A positive attitude and willingness to encourage co-workers
Excellent communications skills
Minimum of 7-10 years experience in general construction
Experience in supervising construction projects
The ability to set priorities and exercise flexibility where necessary
Ability to read and understand blueprints, schematics, and construction documents
Understanding of proper safety procedures and recognition of hazards
Responsibilities:

Hiring, training and general management of all employees on the project
Monitoring performance of sub-contractors and staff
Monitoring project budget
Accomplishing project by defining the scope and resources required
Allocating resources, materials, sub-contractors and other staff
Maintaining a safe, secure and healthy work environment by adhering to and enforcing safety codes
To Apply:

Submit a resume detailing your experience
Submit a cover letter explaining why you would be a great fit
* You must be legal to work in the United States.

Contact Habeeb. 917 468 5083
    "
Construction Estimator - Full time,https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-estimator-full/6960259427.html,brooklyn,TBD,full-time,"
        
Established NYC based Construction firm seeks self-motivated energetic individual with experience to join our team. 

Duties Include: Preparing detailed take-offs and estimates, analyzing architectural & structure drawings, preparing formal proposals, cost control. 

Candidate must have thorough knowledge of computer programs especially Excel, Word, Planswift and strong analytical and communication skills with an eye for detail
    "
Jr. Architect/CAD Draftperson,https://newyork.craigslist.org/lgi/egr/d/great-neck-jr-architect-cad-draftperson/6960309483.html,GREAT NECK,commensurate with experience,contract,"
        
We are a small architectural firm located in Great Neck, NY with easy access via public transportation. Our work includes multiple dwellings, commercial and fine residential projects in NYC and Long Island.

We are looking for a person who has 6 months - 2 years of professional experiences, and the duties include site survey, production of construction documents and client interactions.

A successful candidate should have:
- US Architectural Degree
- CAD proficiency

Please submit a resume and a cover letter with a compensation requirement by replying to this post.

www.jwjarchi.com



    "
Product Engineer - Repair and Development,https://newyork.craigslist.org/lgi/egr/d/smithtown-product-engineer-repair-and/6960362300.html,Hauppauge,Up to US$0.00 per year,,"
        

        
    "
Architectural Job Captain,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-job-captain/6960595389.html,Midtown West,salary commensurate with experience,full-time,"
        
SBLM New York office looks for a highly motivated Job Captain who is a team player with excellent REVIT skills. Ideal candidate will be a well-organized, detail-oriented individual who is accustomed to working on and leading the production of multiple projects. 

Responsibilities include, but not limited to: 
Coordinate and develop construction documents
Take on technically challenging issues with Project Manager
Perform code and zoning analyses
Review and redline drawings
Oversee drafters, as required by the project
Produce deliverables without requiring constant supervision
Coordinate meetings with consultants
Organize and lead site visits and surveys
Conduct material research and meet with vendor as necessary, to understand
materials and products
Take initiative to complete work

Requirements:
Bachelor’s Degree in Architecture
3+ years’ experience in an Architect’s office working on Commercial/Retail projects
Must be proficient in Revit and other applicable industry software is a must
General understanding of codes and zoning
General knowledge of building details and construction process
Positive attitude and driven to succeed

Compensation and Benefits:
•	We offer a competitive salary and benefits package commensurate with the level of experience and a creative and innovative work environment.
•	Our benefit package includes Medical/Dental/Vision Insurance, 401k Retirement Plan, Flexible Spending Plans, Paid Time Off, Holidays, and more.
•	Our company culture features professional learning and growth opportunities, rewarding project types to participate in and free ongoing professional educational programs.

Interested candidates should forward their cover letter and resume 
Please include Job Captain in the subject. No phone calls, please. 



    "
CAD Account Manager,https://newyork.craigslist.org/mnh/egr/d/new-york-cad-account-manager/6961026493.html,Murray Hill,"$50,000-$55,000 per year, Unlimited Vacation Time, Flexible Schedules, Food and Social Activities for the Team",full-time,"
        
RDM (a Building Engines company,) helps asset managers, landlords, and brokers capture the full potential value and rental revenue of commercial real estate. Our pioneering best-in-class solutions set the standard for more accurate measurement, understanding, visualization and redrawing of office space – without expensive CAD drawings. Now that we’ve joined forces with market-leading Building Engines, we are poised for exciting new opportunities.

Key Responsibilities & Job Requirements

- Use AutoCAD and our proprietary software to help customers keep their database updated with current floor plans
- Serve as primary point of contact for customers and fulfill their support requests that may include: floor plan scenarios, floor plan changes, leasing/marketing plans, space analysis, space calculations based on REBNY or BOMA
- Become an expert in RealAccess and clearly communicate the benefits and features
- Become an expert in REBNY and BOMA methods of measurement
- Attend customer training and on-boarding meetings in-person and through video


Required Skills and Experience

- 2-4 years of AutoCAD experience
- BA, BS Degree, or related certification and work experience using AutoCad
- Experience with additional drafting software is a plus
- Intelligent, motivated and competitive with a roll-up-the-sleeves and get the job done attitude
- Excellent communication and interpersonal skills
- Excellent organizational, prioritization, and time management skills
- Knowledge of the commercial real estate space is a plus, but not required


About Building Engines

Building Engines is a leading cloud-based provider of property management software for operations-minded teams at commercial office, retail, and industrial real estate properties. Our web and mobile platform seamlessly connects property teams with the activities, data, and insights they need to improve operational efficiency, mitigate risk, improve tenant satisfaction and engagement, and make more informed decisions. Clients of Building Engines include many of the leading public REITs, private owner/managers, and third-party management firms in the United States and Canada.

    "
Senior Interior Designer/Project Manager - Home Studios,https://newyork.craigslist.org/brk/egr/d/brooklyn-senior-interior-designer/6960867621.html,,COMPETITIVE SALARY/MEDICAL/DENTAL/VISION,full-time,"
        
Home Studios (homestudios.nyc) is currently hiring a Senior Interior Designer/Project Manager to work with our design team. Home Studios is an interior design studio focusing primarily on hospitality projects. As a studio, we are inspired by detail, materials, history, and building processes. We are a young firm that is quickly growing so opportunities are vast for the right applicant. Applicants must be passionate and collaboratively-inclined.

SCOPE OF WORK:

-MANAGE LARGE SCALE PROJECTS 
-PROJECT POINT OF CONTACT FOR SELECT PROJECTS
-CREATE DESIGN WITH DESIGN DIRECTOR
-OVERSEE DESIGN TEAM, SET AND MAINTAIN WEEKLY PROJECT GOALS WITH DESIGNERS
-INITIAL APPROVAL ON ALL DELIVERABLES FOR SELECT PROJECTS
-SET AND MAINTAIN WEEKLY PROJECT GOALS WITH DESIGN DIRECTOR
-COORDINATION WITH ARCHITECT AND CONTRACTOR
-CREATE SCHEMATIC PLANS, MODEL, ID SET AND CUSTOM DRAWINGS
-DESIGN ITERATION FOR APPROVAL OF DESIGN DIRECTOR
-BUILD SCHEDULE WITH PROJECT MANAGER
-DIGITAL MATERIAL INPUT FOR RENDERINGS
-DESIGN PROCESSES, PROCEDURES, AND DELIVERABLES
-CONSTRUCTION ADMINISTRATION


Requirements: 
4-6 years of relevant experience 
Highly motivated and passionate about design and/or architecture 
ARCHITECTURE OR INTERIOR ARCHITECTURE BACKGROUND PREFERRED 
Extremely organized and detail oriented 
Problem solver 
Team player and enjoy working collaboratively 
Have construction knowledge or enthusiasm for learning about construction and building methods

Software requirements (highly proficient): AutoCad, Sketchup, Adobe Creative Suite, Google Docs (Sheets)

Please send the following to careers@homestudios.nyc:
Short paragraph on your background, interests, and goals
Resume - attachments only
Portfolio - attachments only
Instagram/blog
3 Professional references
Who is your favorite designer and why?

NOTE: International candidates must hold a valid US working permit.
    "
CADD/REVIT DRAFTSPERSON/JOB CAPTAIN,https://newyork.craigslist.org/mnh/egr/d/new-york-cadd-revit-draftsperson-job/6961157781.html,Midtown,to be determined,full-time,"
        
BOUTIQUE MIDTOWN ARCHITECTURAL FIRM SEEKING CADD/REVIT DRAFTSPERSON/JOB CAPTAIN WITH 2-6 YEARS EXPERIENCE IN CORPORATE INTERIORS, BUILDING RENOVATION, AND CORE & SHELL WORK. CANDIDATE MUST BE SELF MOTIVATED AND BE ABLE TO HIT THE GROUND RUNNING. WILL BE WORKING DIRECTLY WITH PARTNER AND PROJECT MANAGER. NEED TO BE ABLE TO CREATE FULL SETS OF CONSTRUCTION DOCUMENTS, CREATE WALL TYPES, DOOR SCHEDULES, DETAILS, ETC. MUST BE PROFICIENT IN AUTOCAD AND HAVE A GOOD KNOWLEDGE OF REVIT. EMAIL RESUME AND SALARY REQUIREMENTS.    "
Construction Super / Assist. Project Manager,https://newyork.craigslist.org/brx/egr/d/bronx-construction-super-assist-project/6961300928.html,East Kingsbridge,Based on Compatibility and Experience,full-time,"
        
Construction Super / Assist. Project manager wanted with plan and spec. experience for a large Healthcare Facility renovation in East Kingsbridge.

Must be able to read and understand construction drawings.  Previous commercial construction experience required.

OSHA 30 hour training required. We will assist with this if you are interested and do not have the training.

Candidates should be hard-working, motivated, and looking to excel.

Candidate will work directly with owners, professionals, executives, superintendents, subcontractors and officials to insure that all project directives are met.

Responsibilities Include:
-	Manage and supervise on site construction, subcontractors and vendors 
-	Complete and submit all field required reports and logs including daily logs, subcontractor change orders, RFI's and project progress / schedules updates 
-	Evaluate plans, specifications and related construction documents for construct-ability and provide recommendations for value engineering
-	Communicate design or material delivery issues to insure no impact to schedule or cost and report significant project related issues to project leadership in a timely manner
-	Ensure all safety and environmental requirements are met and obtain all project related permits and licenses from Authorities Having Jurisdiction 
-	Implement on site quality control and adherence to plans and specifications
-	Review and approve subcontractor and vendor pay requisitions and submit for final approval 
-	Schedule delivery and sequence of project materials and work 
-	Hold weekly site meeting for subcontractors and clients and communicate the schedule to subcontractors and vendors 
-	Ensure regular communications with owners, subcontractors, and vendors
-	Play key role in internal preparation and project debriefs

Please include the statement 'General Liability and Workman's Compensation' in your response to this posting.
    "
Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-architect/6965730490.html,Midtown West,open - depending of experience,full-time,"
        
Architect 

EME Consulting Engineering Group (EME)—one of New York City’s leading professional firms dedicated to energy efficiency, existing building design and sustainability—is seeking a degreed architect with 1–3 years of experience providing architectural design service for fit-out and modifications to existing spaces for EME’s educational and healthcare clients. 

The position of Associate Architect will work alongside experienced senior architects providing support in design and field applications. Highly motivated individual with a strong work ethic and commitment to work in a team environment in the office as well as in the field. EME’s core business is the implementation of energy efficiency systems in existing buildings.  

•	Experience with ADA and accessibility design requirements
•	Knowledge of NYC Building Code 
•	Knowledge of construction drawings and specifications
•	Proficiency with AutoCAD and rendering tools

The position will provide considerable exposure to clients and requires excellent communication and project management skills. The position offers significant opportunity for advancement within EME's growing in-house architecture department. 

EME is an equal opportunity employer, offering competitive salaries with a full benefits package. 

For immediate consideration, please email a cover letter, resume, and salary requirements



    "
Jr. Associate Architect.....8 month project....NYC,https://newyork.craigslist.org/mnh/egr/d/new-york-jr-associate-architect8-month/6965811746.html,New York,28.00 - 35.00 per hour,contract,"
        
Associate Architect must have a minimum of five (5) years of experience. The ideal candidate will have an Architectural degree, and experience with government projects, especially in K-12 public schools and public housing. Knowledge of interior building surfaces and materials.  He or she will have experience with building condition assessments inspections and generating computer-based reports.    "
Project Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-project-architect/6966054359.html,Flatiron,DOE,full-time,"
        
Small Manhattan design driven architectural firm is seeking a highly motivated Architect / Project Manager to assist with multiple projects, including new construction and gut renovations for commercial and residential projects.

Qualifications:
-	Architecture degree required
-	Must have minimum  of 10 years experience in U.S. based offices
-	Experience with code research, zoning research and product research
-	Coordination of Architectural and Engineering Documents
-	Consultant Coordination
-	Designing, drawing, and development of Architectural Plans, Elevations, and Details
-	Experience doing field surveys and as-built drawings
-	Knowledge of Mechanical, Electrical, and Plumbing Systems
-	Time Management and organizational skills
-	Excellent written and communication
-	Proficient in AutoCAD, Microsoft Office, and Adobe

Please Provide resume, portfolio, and salary requirements.
    "
Architect/Interior Design Internship/Full Time Position,https://newyork.craigslist.org/mnh/egr/d/new-york-architect-interior-design/6966186464.html,Upper West Side,"Competitive Salary, Insurance and Bonuses",full-time,"
        
Boutique Architecture and Interior Design firm specializing in high end residential projects looking to fill two positions.  Both Junior Designer and Administrative Assistant will work directly with the principals and can expect to participate in all aspects of the design process from concept to completion.  Both positions require individuals with outstanding personal and professional demeanor and communication skills.  Ideally, the Junior Designer has a Bachelor's Degree in Interior Design / Architecture and 1 - 2 years of professional experience.  AutoCad / Rendering skills are a must.   Our Administrative Assistant should have a minimum 1 -2 years relevant professional experience and thorough knowledge of QuickBooks.  Non-smokers only.  Dog lovers preferred.

Please send resume and salary requirements.    "
Intermediate Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect/6966451697.html,Midtown,Competitive Salary,full-time,"
        
GF55 Partners (www.GF55.com) seeks a talented and motivated full time Intermediate Architect for its NYC Office. Enjoy a stimulating and challenging team work environment with a variety of significant projects.  The position requires strong design, analytical and communication skills to interact with colleagues, clients and consultants.  GF55 offers an environment where professional growth and development is encouraged.
GF55 seeks excellence by a collaborative search for the best solution in the creation of architecture 

Skills Required 
•	Revit, Cad, Sketchup, Photoshop, In Design and MS Office Suite
•	Strong Analytical skills, and good follow through 
•	Ability to collaborate and work independently 
•	Bachelor's Degree in Architecture or higher
•	Authorized to work in the US
•	1-3 years of relevant experience 

Compensation commensurate with qualifications. GF55 pays a competitive salary with benefits. 

Include in your application:
•	Cover Letter
•	Resume 
•	Work Samples
    "
Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect/6966462955.html,Midtown East,"$40,000 - $70,000 (Depending On Experience)",full-time,"
        
Architect

Small Manhattan Design Firm Seeks Architect with 3 - 5 Years Experience in High End Residential (Apartments and Townhouses). License not required

The position of Architect will work alongside experienced senior architects providing support in design and field applications. Highly motivated individual with a strong work ethic and commitment to work in a team environment in the office as well as in the field. 

• Experience with townhouse design 
• Knowledge of NYC Building Code and Landmarks requirement
• Knowledge of construction drawings and specifications
• Proficiency with vectorworks design program (6 months minimum) and Mac computers

The position will provide considerable exposure to clients and requires excellent communication and project management skills. 

William Leeds Architect is an equal opportunity employer and offers competitive salaries.

For immediate consideration, please email a cover letter, resume, and salary requirements
    "
Project Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-project-architect/6966474737.html,Midtown,Salary commensurate with experience,full-time,"
        
GF55 Partners in New York City is looking to hire a Senior Project Architect to work on significant large scale Mixed Use Multi Family Projects in the New York region. The candidate should capable of running a team and interacting with clients and consultants. The work is fast paced, challenging and rewarding.  Our Midtown office provides a collaborative environment with interaction between the senior and junior staff. Our dynamic pipeline of work provides opportunities for true achievement. 
  
Personal development is encouraged, and professional growth is supported.  
Competitive compensation and benefits provided commensurate with qualifications and experience.

Minimum requirements:
7-10 years of relevant experience
Professional Degree 
Proficient in Revit, AutoCAD, Bluebeam and Microsoft Office.
Licensed Architects preferred.
 
Please email your cover letter, resume, and samples of work. 

    "
Intermediate Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect/6966509540.html,Midtown,Commensurate with experience,full-time,"
        
New York based architectural firm is seeking Intermediate Architects for current large-scale projects. Applicants must be available to begin work immediately. We are seeking Project Architects with a minimum of 8 to 10 years of experience in the delivery of detailed construction documents. Proficiency in Autodesk Revit, AutoCad and associated software is required. 

Applicants must possess excellent technical skills. Applicants will be required to prepare detailed construction document's, attend site meetings and prepare field reports. Experience with current New York City Building Codes.

We offer a competitive salary and benefits package commensurate with experience, health insurance, vacation/sick time, disability and paid family leave coverages. 

Interested candidates please forward a cover letter and resume.    "
Construction Estimator,https://newyork.craigslist.org/que/egr/d/construction-estimator/6966558357.html,NYC,Competitive salary,full-time,"
        
Construction Estimator/Project Manager

Established NYC based Construction firm seeks self-motivated energetic individual with minimum 10 years' experience to join our team.  

Duties Include: Preparing detailed take-offs and estimates, analyzing architectural drawings, developing scope of work, preparing formal proposals, attend meetings and walk throughs, solicit bids from subcontractors and vendors, manage projects, cost control, submittals and scheduling. 

Candidate must have thorough knowledge of computer programs especially Excel, Word, Planswift and MS Project and possess strong analytical and communication skills with an eye for detail.

BA/BS in architecture or engineering preferred.  Drawing, sketching and Auto CAD proficiency a plus.

Competitive salary and benefits package.
    "
Part-time architecture work- must know Revit,https://newyork.craigslist.org/mnh/egr/d/new-york-part-time-architecture-work/6966654844.html,Flatiron,TBD,part-time,"
        
Small architecture firm looking for part-time, freelance employee for immediate hire. Must know Revit. All levels of experience are welcome. Working on small projects, renovations, and small new buildings. Send hourly rate, resume, and a few work samples. Find us at jorgefontan.com    "
